,character,dialogue,episode,season,total_words_spoken
507,jaime,if that's true he'll never expose himself,2,8,7
508,bran,yes he will,2,8,3
509,bran,he'll come for me he's tried before many times with many three-eyed ravens,2,8,13
510,sam,why what does he want,2,8,5
511,bran,an endless night he wants to erase this world and i am its memory,2,8,14
512,sam,that's what death is isn't it forgetting being forgotten if we forget where we've been and what we've done we're not men anymore just animals your memories don't come from books your stories aren't just stories if i wanted to erase the world of men i'd start with you,2,8,49
513,tyrion,how will he find you,2,8,5
514,bran,his mark is on me,2,8,5
515,bran,he always knows where i am,2,8,6
516,jon,we'll put you in the crypt where it's safest,2,8,9
517,bran,no we need to lure him into the open before his army destroys us all i'll wait for him in the godswood,2,8,22
518,sansa,you want us to use you as bait,2,8,8
519,arya,we're not leaving you alone out there,2,8,7
520,theon,he won't be i'll stay with him with the ironborn i took this castle from you let me defend you now,2,8,21
521,davos,we'll hold off the rest of them for as long as we can,2,8,13
522,tyrion,when the time comes ser davos and i will be on the walls to give you the signal to light the trench,2,8,22
523,daenerys,ser davos is perfectly capable of waving a torch on his own you'll be in the crypt,2,8,17
524,tyrion,your grace i have fought before i can do it again alongside the men and women risking their lives,2,8,19
525,daenerys,there are thousands of them and only one of you you can't fight as well as they can but you can think better than any of them you're here because of your mind if we survive i'll need it,2,8,39
526,davos,the dragons should give us an edge in the field,2,8,10
527,jon,if they're in the field they're not protecting bran we need to be near him not too near or the night king won't come but close enough to pursue him when he does,2,8,33
528,arya,dragonfire will stop him,2,8,4
529,bran,i don't know no one's ever tried,2,8,7
530,tormund,we're all going to die,2,8,5
531,tormund,but at least we die together,2,8,6
532,jon,let's get some rest,2,8,4
533,jon,your grace,2,8,2
534,tyrion,do you need help,2,8,4
535,bran,no,2,8,1
536,tyrion,you've had a strange journey,2,8,5
537,bran,stranger than most,2,8,3
538,tyrion,i'd like to hear about it,2,8,6
539,bran,it's a long story,2,8,4
540,tyrion,if only we were trapped in a castle in the middle of winter with nowhere to go,2,8,17
541,missandei,hello,2,8,1
542,grey worm,when daenerys takes her throne there will be no place for us here i am loyal to my queen i will fight for her until her enemies are defeated but when the war is over and she has won do you want to grow old in this place is there nothing else you want to do nothing else you want to see,2,8,62
543,missandei,naath i'd like to see the beaches again,2,8,8
544,grey worm,then i will take you there,2,8,6
545,missandei,my people are peaceful we cannot protect ourselves,2,8,8
546,grey worm,my people are not peaceful we will protect you,2,8,9
547,sam,have you told her yet,2,8,5
548,jon,no,2,8,1
549,sam,mm-hmm being careful biding your time waiting for the perfect-,2,8,10
550,edd,and now our watch begins,2,8,5
551,jon,gilly little sam,2,8,3
552,sam,they'll be safe down in the crypt,2,8,7
553,jon,if you want to join them,2,8,6
554,jon,to protect them,2,8,3
555,sam,everyone seems to forget that i was the first man to kill a white walker i've killed thenns,2,8,18
556,edd,thenn,2,8,1
557,sam,i've saved gilly more than once i stole a considerable number of books from the citadel library survived the fist of the first men you need me out there,2,8,29
558,edd,well if that's what it's come to we really are fucked,2,8,11
559,sam,"well calling you ""fucked"" wouldn't be strictly accurate",2,8,8
560,edd,samwell tarly slayer of white walkers lover of ladies as if we needed any more signs the world was ending,2,8,20
561,sam,think back to where we started us grenn pyp,2,8,9
562,jon,now it's just us three,2,8,5
563,edd,last man left burn the rest of us,2,8,8
564,tyrion,i wish father were here,2,8,5
565,tyrion,i would love to see the look on his face when he realizes his two sons are about to die defending winterfell,2,8,22
566,jaime,that would be something to see,2,8,6
567,tyrion,i remember the first time we were here the first time i saw this hall,2,8,15
568,jaime,mm,2,8,1
569,tyrion,you were a golden lion i was a drunken whore-monger it was all so simple,2,8,15
570,jaime,it wasn't so simple i was sleeping with my sister and you had one friend in the world who was sleeping with his sister,2,8,24
571,tyrion,i was speaking in relative terms,2,8,6
572,jaime,do you miss it,2,8,4
573,tyrion,of course i miss it,2,8,5
574,jaime,well my golden lion days are done but whore-mongering is still an option for you,2,8,15
575,tyrion,it's not things would be easier if it were,2,8,9
576,tyrion,the perils of self-betterment,2,8,4
577,jaime,oh my lady,2,8,3
578,brienne,oh we didn't mean to interrupt we were just looking for somewhere warm to-,2,8,14
579,tyrion,to contemplate your imminent death you've come to the right place you want some of this piss it's not bad it's not good either,2,8,24
580,podrick,thank you milord,2,8,3
581,brienne,i don't think that's wise,2,8,5
582,brienne,the battle might start at any moment,2,8,7
583,brienne,half cup,2,8,2
584,tyrion,and you,2,8,2
585,brienne,no thank you i should try and get some sleep,2,8,10
586,jaime,you really think any of us are going to sleep tonight join us,2,8,13
587,brienne,all right just a bit,2,8,5
588,davos,well what do we have here,2,8,6
589,tyrion,ser davos join us,2,8,4
590,davos,no not for me thanks came here for this,2,8,9
591,davos,i figured i could wait to die freezing my balls off out there or wait to die nice and warm in here,2,8,22
592,tormund,it could be our last night in this world you know,2,8,11
593,brienne,yes well i'm glad you're here,2,8,6
594,brienne,here fighting with us glad you survived eastwatch,2,8,8
595,tyrion,would you like a drink,2,8,5
596,tormund,brought my own,2,8,3
597,tormund,"they call you ""king killer""",2,8,5
598,jaime,i'm sure someone does,2,8,4
599,tormund,"they call me ""giantsbane"" want to know why",2,8,8
600,tormund,i killed a giant when i was ten then i climbed right into bed with his wife,2,8,17
601,tormund,when she woke up you know what she did suckled me at her teat for three months thought i was her baby that's how i got so strong giant's milk,2,8,30
602,davos,maybe i will have that drink,2,8,6
603,sandor,you never used to shut up now you're just sitting there like a mute,2,8,14
604,arya,guess i've changed,2,8,3
605,arya,what are you doing up here,2,8,6
606,sandor,what's it look like,2,8,4
607,arya,no i mean what are you doing up here you joined the brotherhood you went beyond the wall with jon you're here now why when was the last time you fought for anyone but yourself,2,8,35
608,sandor,i fought for you didn't i,2,8,6
609,sandor,oh for fuck's sake may as well be at a bloody wedding,2,8,12
610,beric,my lady it's good to see you again i'm sorry we parted the way we did,2,8,16
611,sandor,was he on your list,2,8,5
612,arya,for a little while,2,8,4
613,beric,that's all right,2,8,3
614,beric,the lord of light has brought us together all the same this is his moment when light-,2,8,17
615,sandor,thoros isn't here anymore so i hope you're not about to give a sermon because if you are the lord of light's gonna wonder why he brought you back nineteen times just to watch you die when i chuck you over this fucking wall,2,8,44
616,sandor,where are you going,2,8,4
617,arya,i'm not spending my final hours with you two miserable old shits,2,8,12
618,arya,that for me,2,8,3
619,arya,this'll work,2,8,2
620,gendry,last time you saw me you wanted me to come to winterfell took the long road but…,2,8,17
621,arya,what did the red woman want with you,2,8,8
622,gendry,she wanted my blood for some kind of spell,2,8,9
623,arya,why your blood,2,8,3
624,gendry,i'm robert baratheon's bastard,2,8,4
625,gendry,i didn't know until she told me then she tied me up stripped me down put leeches all over me,2,8,20
626,arya,was that your first time,2,8,5
627,gendry,no yeah i've never had leeches put all over my cock,2,8,11
628,arya,your first time with a woman,2,8,6
629,gendry,what i-i didn't-i wasn't with her,2,8,6
630,arya,were you with other girls before that in king's landing,2,8,10
631,arya,or after,2,8,2
632,arya,you don't remember,2,8,3
633,gendry,yes i was,2,8,3
634,arya,one two twenty,2,8,3
635,gendry,well i didn't keep count,2,8,5
636,arya,yes you did,2,8,3
637,gendry,three,2,8,1
638,arya,we're probably going to die soon i want to know what it's like before that happens,2,8,16
639,gendry,arya i-,2,8,2
640,arya,i'm not the red woman take your own bloody pants off,2,8,11
641,tyrion,it's strange isn't it almost everyone here's fought the starks at one time or another and here we are in their castle ready to defend it together,2,8,27
642,brienne,at least we'll die with honor,2,8,6
643,tyrion,i think we might live,2,8,5
644,tyrion,i-i do how many battles have we survived between us ser davos seaworth survivor of both the blackwater and the battle of the bastards,2,8,24
645,davos,all without a shred of combat ability,2,8,7
646,tyrion,mm ser jaime lannister fabled hero of the siege of pyke,2,8,11
647,jaime,fabled loser of the battle of whispering wood,2,8,8
648,tyrion,hear hear ser brienne of tarth defeated the hound in-pardon me lady brienne,2,8,13
649,tormund,she's not a ser you're not a knight,2,8,8
650,brienne,women can't be knights,2,8,4
651,tormund,why not,2,8,2
652,brienne,tradition,2,8,1
653,tormund,fuck tradition,2,8,2
654,brienne,i don't even want to be a knight,2,8,8
655,tormund,i'm no king but if i were i'd knight you ten times over,2,8,13
656,jaime,you don't need a king any knight can make another knight,2,8,11
657,jaime,i'll prove it,2,8,3
658,jaime,kneel lady brienne,2,8,3
659,jaime,do you want to be a knight or not kneel,2,8,10
660,jaime,in the name of the warrior i charge you to be brave,2,8,12
661,jaime,in the name of the father i charge you to be just,2,8,12
662,jaime,in the name of the mother i charge you to defend the innocent,2,8,13
663,jaime,arise brienne of tarth a knight of the seven kingdoms,2,8,10
664,tyrion,ser brienne of tarth knight of the seven kingdoms,2,8,9
665,jorah,we have all we need to win this war,2,8,9
666,lyanna,i have trained my men women and children i have fought before i can fight again,2,8,16
667,jorah,please listen to me you're the future of our house,2,8,10
668,lyanna,i don't need you to remind me of that,2,8,9
669,jorah,you'll be safer in the crypt these things we're fighting-,2,8,10
670,lyanna,i will not hide underground i pledged to fight for the north and i will fight,2,8,16
671,sam,oh i'm sorry i didn't mean to-,2,8,7
672,lyann,it's all right we're done here,2,8,6
673,lyanna,i wish you good fortune cousin,2,8,6
674,jorah,thank you my lady,2,8,4
675,jorah,what have you got there,2,8,5
676,sam,it's called heartsbane it's my family sword,2,8,7
677,jorah,you still have a family,2,8,5
678,sam,yes and i'd love to defend them with it but i can't really hold it upright your father he taught me how to be a man how to do what's right this is right it's valyrian steel i'd be honored if you'd take it,2,8,44
679,jorah,i'll wield it in his memory to guard the realms of men,2,8,12
680,sam,i'll see you when it's through,2,8,6
681,sam,i hope we win,2,8,4
682,jaime,we'd better get some rest,2,8,5
683,tyrion,no let's stay a bit longer,2,8,6
684,davos,we're out of wine,2,8,4
685,tyrion,how about a song one of you must know one ser davos,2,8,12
686,davos,you'll pray for a quick death,2,8,6
687,tyrion,ser brienne,2,8,2
688,tormund,mm-mm,2,8,1
689,tyrion,mmm,2,8,1
690,podrick,high in the halls of the kings who are gone jenny would dance with her ghosts the ones she had lost and the ones she had found and the ones who had loved her the most,2,8,36
691,podrick,the ones who'd been gone for so very long,2,8,9
692,podrick,she couldn't remember their names they spun her around on the damp old stones,2,8,14
693,podrick,spun away all her sorrow and pain and she never wanted to leave,2,8,13
694,podrick,never wanted to leave never wanted to leave never wanted to leave,2,8,12
695,podrick,never wanted to leave never wanted to leave,2,8,8
696,daenerys,who's that,2,8,2
697,jon,lyanna stark,2,8,2
698,daenerys,my brother rhaegar everyone told me he was decent and kind he liked to sing gave money to poor children and he raped her,2,8,24
699,jon,he didn't he loved her,2,8,5
700,jon,they were married in secret after rhaegar fell on the trident she had a son robert would have murdered the baby if he ever found out and lyanna knew it so the last thing she did as she bled to death on her birthing bed was give the boy to her brother ned stark to raise as his bastard,2,8,59
701,jon,my name my real name is aegon targaryen,2,8,8
702,daenerys,that's impossible,2,8,2
703,jon,i wish it were,2,8,4
704,daenerys,who told you this,2,8,4
705,jon,bran he saw it,2,8,4
706,daenerys,he saw it,2,8,3
707,jon,and samwell confirmed it he read about their marriage at the citadel without even knowing what it meant,2,8,18
708,daenerys,a secret no one in the world knew except your brother and your best friend doesn't seem strange to you,2,8,20
709,jon,it's true dany i know it is,2,8,7
710,daenerys,if it were true it would make you the last male heir of house targaryen you'd have a claim to the iron throne,2,8,23
711,man,form up get yourselves back,2,8,5
712,northman,oi,3,8,1
713,northman,mind out,3,8,2
714,northman,move,3,8,1
715,northman,look on the west wall,3,8,5
716,soldier,get down to the crypt,3,8,5
717,soldier,just hold,3,8,2
718,man,we'll take him,3,8,3
719,lyanna,come on help the lads,3,8,5
720,soldier,yes my lady,3,8,3
721,lyanna,quickly now quickly get those in position,3,8,7
722,soldier,come on,3,8,2
723,soldier,close the gate,3,8,3
724,soldier,that's it,3,8,2
725,edd,oh for fuck's sake you took your time,3,8,8
726,melisandre,do you speak their tongue,3,8,5
727,melisandre,tell them to lift their swords,3,8,6
728,melisandre,valar morghulis,3,8,2
729,grey worm,valar dohaeris,3,8,2
730,davos,open the gate,3,8,3
731,soldier,open the gate,3,8,3
732,man,come come on easy,3,8,4
733,melisandre,there's no need to execute me ser davos i'll be dead before the dawn,3,8,14
734,soldier,cease fire,3,8,2
735,jon,the night king is coming,3,8,5
736,daenerys,the dead are already here,3,8,5
737,brienne,stand your ground,3,8,3
738,arya,get down to the crypt,3,8,5
739,sansa,i'm not abandoning my people,3,8,5
740,arya,take this and go,3,8,4
741,sansa,i don't know how to use it,3,8,7
742,arya,stick them with the pointy end,3,8,6
743,sam,edd edd,3,8,2
744,edd,sam get up,3,8,3
745,edd,oh god sam,3,8,3
746,woman,edd,3,8,1
747,tormund,fall back fall back,3,8,4
748,brienne,fall back,3,8,2
749,soldier,come on,3,8,2
750,lyanna,open the gate,3,8,3
751,soldier,let us in,3,8,3
752,soldier,keep moving,3,8,2
753,lyanna,keep moving fast,3,8,3
754,soldier,to your posts,3,8,3
755,soldier,go,3,8,1
756,soldier,come on run keep moving,3,8,5
757,grey worm,protect the retreat,3,8,3
758,grey worm,stand your ground,3,8,3
759,jon,dany,3,8,1
760,soldier,grab your weapon now,3,8,4
761,soldier,guard the barricades,3,8,3
762,soldier,through that pass,3,8,3
763,brienne,hey hey hey,3,8,3
764,soldier,close up the gaps,3,8,4
765,brienne,go hey go go,3,8,4
766,jaime,get in get in get in come on,3,8,8
767,soldier,move,3,8,1
768,soldier,retreat,3,8,1
769,lyanna,protect the gate,3,8,3
770,soldier,protect the gate,3,8,3
771,jaime,they're coming come on,3,8,4
772,sandor clegane,fall back,3,8,2
773,grey worm,light the trench light the trench,3,8,6
774,soldier,wait,3,8,1
775,soldier,light the trench,3,8,3
776,davos,she can't see us,3,8,4
777,davos,light the trenches,3,8,3
778,soldier,with a torch light the trenches right there,3,8,8
779,soldier,torch it,3,8,2
780,melisandre,lord of light cast your light upon us lord of light defend us for the night is dark and full of terrors,3,8,22
781,melisandre,lord of light cast your light upon us lord of light defend us for the night is dark and full of terrors,3,8,22
782,beric,clegane,3,8,1
783,woman,you must try not to worry yourself,3,8,7
784,varys,at least we're already in a crypt,3,8,7
785,tyrion,if we were up there we might see something everyone else is missing something that makes a difference,3,8,18
786,tyrion,what remember the battle of blackwater i brought us through the mud gate,3,8,13
787,varys,and got your face cut in half,3,8,7
788,tyrion,and it made a difference if i was out there right now,3,8,12
789,sansa,you'd die there's nothing you can do,3,8,7
790,tyrion,you might be surprised at the lengths i'd go to avoid joining the army of the dead i could think of no organization less suited to my talents,3,8,28
791,sansa,witty remarks won't make a difference that's why we're down here none of us can do anything it's the truth it's the most heroic thing we can do now look the truth in the face,3,8,35
792,tyrion,maybe we should have stayed married,3,8,6
793,sansa,you were the best of them,3,8,6
794,tyrion,what a terrifying thought,3,8,4
795,sansa,it wouldn't work between us,3,8,5
796,tyrion,why not,3,8,2
797,sansa,the dragon queen your divided loyalties would become a problem,3,8,10
798,missandei,yes without the dragon queen there'd be no problem at all we'd all be dead already,3,8,16
799,theon,they lit the trench bran i just want you to know i wish the things i did,3,8,17
800,bran,everything you did brought you where you are now where you belong home,3,8,13
801,bran,i'm going to go now,3,8,5
802,theon,go where,3,8,2
803,davos,man the walls,3,8,3
804,soldier,man the walls,3,8,3
805,soldier,man the wall,3,8,3
806,lyanna,man the walls come on,3,8,5
807,lyanna,get out there get moving,3,8,5
808,jaime,come on come on come on go go go,3,8,9
809,brienne,come on,3,8,2
810,soldier,they're against the wall,3,8,4
811,soldier,get more men up here,3,8,5
812,soldier,fill the gaps quickly,3,8,4
813,jaime,get in there,3,8,3
814,soldier,they're climbing the walls,3,8,4
815,jaime,relieve the archers,3,8,3
816,soldier,relieve the archers,3,8,3
817,jaime,archers on top,3,8,3
818,soldier,move up,3,8,2
819,soldier,go go come here come on,3,8,6
820,soldier,move back,3,8,2
821,soldier,stand away,3,8,2
822,soldier,go on go on,3,8,4
823,jorah,go go,3,8,2
824,soldier,step back,3,8,2
825,soldier,all the way archers,3,8,4
826,soldier,hold the wall,3,8,3
827,soldier,the wall they're coming up,3,8,5
828,jaime,draw,3,8,1
829,jaime,come on,3,8,2
830,soldier,they're coming up,3,8,3
831,jaime,look out,3,8,2
832,beric,clegane clegane,3,8,2
833,beric,clegane clegane we need you,3,8,5
834,beric,you can't give up on us,3,8,6
835,sandor clegane,fuck off we can't beat them don't you see that you stupid whore we're fighting death they can't beat death,3,8,20
836,beric,tell her that,3,8,3
837,soldier,open the door,3,8,3
838,soldier,open the door open the door please open it,3,8,9
839,sandor clegane,come on,3,8,2
840,beric,go,3,8,1
841,beric,run,3,8,1
842,sandor clegane,we've gotta go,3,8,3
843,melisandre,the lord brought him back for a purpose now that purpose has been served,3,8,14
844,arya,i know you,3,8,3
845,melisandre,and i know you,3,8,4
846,arya,you said we'd meet again,3,8,5
847,melisandre,and here we are at the end of the world,3,8,10
848,arya,you said i'd shut many eyes forever you were right about that too,3,8,13
849,melisandre,brown eyes green eyes and blue eyes,3,8,7
850,melisandre,what do we say to the god of death,3,8,9
851,arya,not today,3,8,2
852,theon,here they come,3,8,3
853,theon,steady lads,3,8,2
854,theon,steady now make every shot count,3,8,6
855,man,over there,3,8,2
856,man,there,3,8,1
857,jon,get off,3,8,2
858,daenerys,dracarys,3,8,1
859,tyrion,come on come on no no no no,3,8,8
860,jon,bran,3,8,1
861,daenerys,go,3,8,1
862,daenerys,jorah,3,8,1
863,bran,theon,3,8,1
864,bran,you're a good man,3,8,4
865,bran,thank you,3,8,2
866,jorah,i'm hurt,3,8,2
867,jon,we're here to say goodbye to our brothers and sisters to our fathers and mothers to our friends our fellow men and women who set aside their differences to fight together and die together so that others might live everyone in this world owes them a debt that can never be repaid it is our duty and our honor to keep them alive in memory for those who come after us and those who come after them for as long as men draw breath they were the shields that guarded the realms of men and we shall never see their like again,4,8,102
868,man,to your health,4,8,3
869,gendry,have you seen arya,4,8,4
870,sandor clegane,you can still smell the burning bodies and that's where your head is at,4,8,14
871,gendry,i just want to thank her for-,4,8,7
872,sandor clegane,i'm sure you do,4,8,4
873,gendry,look it's not about that,4,8,5
874,sandor clegane,of course it's about that you twat why shouldn't it be the dead are dead you're not,4,8,17
875,daenerys,gendry,4,8,1
876,daenerys,that's right isn't it,4,8,4
877,gendry,yes your grace,4,8,3
878,daenerys,you're robert baratheon's son,4,8,4
879,daenerys,you are aware he took my family's throne and tried to have me murdered,4,8,14
880,gendry,i didn't even know he was my father until after he was dead,4,8,13
881,daenerys,yes he's dead his brothers are too so who's lord of storm's end now,4,8,14
882,gendry,i don't know your grace,4,8,5
883,daenerys,does anyone,4,8,2
884,daenerys,i think you should be lord of storm's end,4,8,9
885,gendry,i can't be i'm a bastard,4,8,6
886,daenerys,no you are lord gendry baratheon of storm's end the lawful son of robert baratheon because that is what i have made you,4,8,23
887,davos,to lord gendry baratheon of storm's end,4,8,7
888,all,to gendry,4,8,2
889,man,lord gendry,4,8,2
890,man,gendry,4,8,1
891,man,that's easy isn't it,4,8,4
892,tyrion,a fitting reward for a hero,4,8,6
893,sam,uh hold on,4,8,3
894,tyrion,and a lord of storm's end who will be forever loyal to you,4,8,13
895,man,come my lord,4,8,3
896,daenerys,see you're not the only one who's clever,4,8,8
897,woman,i have to go down and get another barrel,4,8,9
898,jaime,we fought dead things and lived to talk about it if this isn't the time to drink when is,4,8,19
899,davos,the last time i saw her i told her i'd kill her if i ever saw her again,4,8,18
900,tyrion,i'm sure you had your reasons,4,8,6
901,davos,i did i do,4,8,4
902,tyrion,so did you,4,8,3
903,davos,never got the chance she did it to herself or her god did it to her lord of light we play his game for him we fight his war and win and then he fucks off no signs no blessings who knows what he wants,4,8,45
904,tyrion,i don't imagine thinking about that subject will leave you any happier than before,4,8,14
905,davos,and what if i'm not trying to be happy,4,8,9
906,tyrion,then you're in luck we may have defeated them but we still have us to contend with,4,8,17
907,davos,thank you i feel much better,4,8,6
908,man,more ale,4,8,2
909,tyrion,this is clever even better than the saddle i designed for you,4,8,12
910,bran,it's the same as the one daeron targaryen built for his crippled nephew 120 years ago i liked that one,4,8,20
911,tyrion,you know our history better than anyone that will be useful as lord of winterfell,4,8,15
912,bran,i'm not lord of winterfell,4,8,5
913,tyrion,you're the only surviving trueborn son of ned stark,4,8,9
914,tyrion,you don't want it,4,8,4
915,bran,i don't really want anymore,4,8,5
916,tyrion,i envy you,4,8,3
917,bran,you shouldn't envy me mostly i live in the past,4,8,10
918,varys,come in,5,8,2
919,varys,and,5,8,1
920,varys,nothing,5,8,1
921,martha,she won't eat,5,8,3
922,varys,we'll try again at supper,5,8,5
923,martha,i think they're watching me,5,8,5
924,varys,who,5,8,1
925,martha,her soldiers,5,8,2
926,varys,of course they are that's their job,5,8,7
927,varys,what have i told you martha,5,8,6
928,martha,the greater the risk the greater the reward,5,8,8
929,varys,go on they'll be missing you in the kitchen,5,8,9
930,varys,the northern armies,5,8,3
931,jon,just crossed the trident they'll be at the walls of king's landing in two days how is she,5,8,18
932,varys,she hasn't seen anyone since we returned hasn't left her chambers hasn't accepted any food,5,8,15
933,jon,she shouldn't be alone,5,8,4
934,varys,you're worried for her i admire your empathy,5,8,8
935,jon,aren't you worried for her,5,8,5
936,varys,i'm worried for all of us they say every time a targaryen is born the gods toss a coin and the world holds its breath,5,8,25
937,jon,we're not much for riddles where i'm from,5,8,8
938,varys,we both know what she's about to do,5,8,8
939,jon,that's her decision to make she is our queen,5,8,9
940,varys,men decide where power resides whether or not they know it,5,8,11
941,jon,what do you want,5,8,4
942,varys,all i've ever wanted the right ruler on the iron throne i still don't know how her coin has landed but i'm quite certain about yours,5,8,26
943,jon,i don't want it i never have,5,8,7
944,varys,i have known more kings and queens than any man living i've heard what they say to crowds and seen what they do in the shadows i have furthered their designs however horrible but what i tell you now is true,5,8,41
945,jon,she is my queen,5,8,4
946,tyrion,your grace,5,8,2
947,tyrion,there's something you need to know,5,8,6
948,daenerys,someone has betrayed me,5,8,4
949,tyrion,yes,5,8,1
950,daenerys,jon snow,5,8,2
951,tyrion,varys,5,8,1
952,daenerys,he knows the truth about jon,5,8,6
953,tyrion,he does,5,8,2
954,daenerys,because you told him you learned from sansa and she learned from jon though i begged him not to tell her as i said he betrayed me,5,8,27
955,tyrion,i'm glad sansa told me i am your hand i need to be aware of any threats you're facing,5,8,19
956,daenerys,and varys,5,8,2
957,tyrion,your master of whisperers needs to be aware too,5,8,9
958,daenerys,you spoke to him first without coming to me without asking my permission,5,8,13
959,tyrion,it was a mistake,5,8,4
960,daenerys,why do you think sansa told you what do you think she hoped to gain,5,8,15
961,tyrion,she trusts me,5,8,3
962,daenerys,yes she trusts you she trusted you to spread secrets that could destroy your own queen and you did not let her down,5,8,23
963,tyrion,if i have failed you my queen forgive me our intentions were good we wanted what you want a better world all of us varys as much as anyone,5,8,29
964,tyrion,but it doesn't matter now,5,8,5
965,daenerys,no it doesn't matter now,5,8,5
966,tyrion,it was me,5,8,3
967,varys,i hope i deserve this truly i do i hope i'm wrong goodbye old friend,5,8,15
968,daenerys,lord varys i daenerys of house targaryen first of my name breaker of chains and mother of dragons ,5,8,18
969,daenerys,sentence you to die dracarys,5,8,5
970,daenerys,this was all she brought with her when we crossed the narrow sea her only possession,5,8,16
971,daenerys,it's all right torgo nudo let me speak with him,5,8,10
972,daenerys,what did i say would happen if you told your sister,5,8,11
973,jon,i don't want it and that's what i told him,5,8,10
974,daenerys,she betrayed your trust she killed varys as much as i did this was a victory for her now she knows what happens when people hear the truth about you far more people in westeros love you than love me i don't have love here i only have fear,5,8,49
975,jon,i love you and you will always be my queen,5,8,10
976,daenerys,is that all i am to you your queen,5,8,9
977,daenerys,all right then,5,8,3
978,daenerys,let it be fear,5,8,4
979,tyrion,the people who live there they're not your enemies they're innocents like the ones you liberated in meereen,5,8,18
980,daenerys,in meereen the slaves turned on the masters and liberated the city themselves the moment i arrived,5,8,17
981,tyrion,they're afraid anyone who resists cersei will see his family butchered you can't expect them to be heroes they're hostages,5,8,20
982,daenerys,they are in a tyrant's grip whose fault is that mine,5,8,11
983,tyrion,what does it matter whose fault it is thousands of children will die if the city burns,5,8,17
984,daenerys,your sister knows how to use her enemies' weaknesses against them that's what she thinks our mercy is - weakness,5,8,20
985,tyrion,i beg you my queen-,5,8,5
986,daenerys,but she's wrong mercy is our strength our mercy towards future generations who will never again be held hostage by a tyrant,5,8,22
987,daenerys,ready the unsullied tonight you sail for king's landing to join the northern armies,5,8,14
988,tyrion,cersei's followers will abandon her if they know the war is lost give them that chance if the city surrenders they will ring the bells and raise the gates please if you hear them ringing the bells call off the attack,5,8,41
989,daenerys,wait for me outside the city you'll know when it's time,5,8,11
990,daenerys,your brother was stopped trying to get past our lines,5,8,10
991,daenerys,it seems he hasn't abandoned your sister after all the next time you fail me will be the last time you fail me,5,8,23
992,guard,let them pass,5,8,3
993,guard,through the gate,5,8,3
994,guard,get going,5,8,2
995,davos,the rearguard should be here by daybreak,5,8,7
996,tyrion,she wants to attack now,5,8,5
997,jon,daybreak at the earliest,5,8,4
998,soldier,careful with that,5,8,3
999,soldier,my lord,5,8,2
1000,tyrion,davos i need to ask you a favor you're the greatest smuggler alive aren't you,5,8,15
1001,davos,i'm not gonna like this favor am i,5,8,8
1002,soldier,he's always better when he's got some food in him,5,8,10
1003,soldier,problem is when he's got drink in him see what he did the other week,5,8,15
1004,soldier,aye fighting as well commander nearly caught him,5,8,8
1005,soldier,ay up where you going,5,8,5
1006,arya,i'm arya stark i'm going to kill queen cersei,5,8,9
1007,sandor clegane,think about it she kills cersei the war's over there won't be a siege you might not even die tomorrow,5,8,20
1008,soldier,i need to go talk to my captain,5,8,8
1009,sandor clegane,go ahead talk to him,5,8,5
1010,soldier,where's he going,5,8,3
1011,tyrion,i drink to eat the skull keeper,5,8,7
1012,tyrion,i want to eat the skull keeper,5,8,7
1013,tyrion,i want to see the ,5,8,5
1014,unsullied,we speak the common tongue,5,8,5
1015,tyrion,ah good i want to be alone with the prisoner get some rest tomorrow will be a long day,5,8,19
1016,unsullied,we have orders to guard the prisoner,5,8,7
1017,tyrion,ordered by whom the queen herself,5,8,6
1018,unsullied,no,5,8,1
1019,tyrion,well in that case as hand of the queen i outrank whomever gave your order probably by quite a lot,5,8,20
1020,tyrion,how did they find you,5,8,5
1021,tyrion,did you consider taking it off,5,8,6
1022,jaime,"cersei once called me ""the stupidest lannister""",5,8,7
1023,tyrion,and you're going back to her to die with her,5,8,10
1024,jaime,you've underestimated her before,5,8,4
1025,tyrion,she's going to die unless you can convince her to change her course of action,5,8,15
1026,jaime,difficult to do from here,5,8,5
1027,jaime,when have i ever been able to convince cersei of anything,5,8,11
1028,tyrion,try if not for yourself if not for her then for every one of the million people in that city innocent or otherwise,5,8,23
1029,jaime,to be honest i never really cared much for them innocent or otherwise,5,8,13
1030,tyrion,you do care for one innocent i know you do and so does cersei she has a reason now,5,8,19
1031,jaime,the child is the reason she'll never give an inch all the worst things she's ever done she's done for her children it's not impossible that she'll win,5,8,28
1032,tyrion,she won't her enemy's forces have been depleted as she said they would be,5,8,14
1033,jaime,two of the three dragons are dead she's evened the odds,5,8,11
1034,tyrion,the city will fall tomorrow,5,8,5
1035,jaime,she has the lannister army she has the golden company-,5,8,10
1036,tyrion,i defended the city last time it was attacked i know it better than anyone it will fall tomorrow,5,8,19
1037,jaime,then i suppose i'll die tomorrow if not before,5,8,9
1038,tyrion,why,5,8,1
1039,tyrion,escape the two of you together remember where we met where they keep the dragon skulls beneath the red keep take her down there keep following the stairways down down as far as they'll go you'll come out onto a beach at the foot of the keep a dinghy will be waiting for you sail out of the bay if the winds are kind you'll make it to pentos start a new life,5,8,73
1040,jaime,sail right past the iron fleet and into a new life sounds a lot less likely than cersei winning this war-,5,8,21
1041,tyrion,there won't be an iron fleet for much longer do it if you don't you'll never see cersei again,5,8,19
1042,tyrion,swear to me,5,8,3
